Nombre parada,Coordenada Y,Coordenada X,Nueva columna georreferenciada
Carrera 8 con Calle 31 Lado Sur,10.94677,-74.785825,POINT(-74.785825 10.94677)
Calle 30 con Carrera 4B Home Center,10.947509,-74.784848,POINT(-74.784848 10.947509)
Carrera 14 con Calle 30,10.952259,-74.786842,POINT(-74.786842 10.952259)
Calle 31 No. 13-39,10.950202,-74.786862,POINT(-74.786862 10.950202)
Calle 31 con Carrera 11,10.948802,-74.786426,POINT(-74.786426 10.948802)
Carrera 8 No. 30-158 Lado Norte Torres de Las Palm,10.946696,-74.786867,POINT(-74.786867 10.946696)
Carrera 8 No. 34-26 Lado Norte,10.946451,-74.788999,POINT(-74.788999 10.946451)
Carrera 8 con Calle 35A Lado Norte,10.946205,-74.791229,POINT(-74.791229 10.946205)
Carrera 8 con Calle 37D Lado Norte,10.945931,-74.793248,POINT(-74.793248 10.945931)
Carrera 8 No. 40-32 Lado Norte,10.946245,-74.795742,POINT(-74.795742 10.946245)
Carrera 8 con Calle 42B Lado Norte,10.946242,-74.797833,POINT(-74.797833 10.946242)
Carrera 8 con Calle 45 Lado Norte,10.946182,-74.80004,POINT(-74.80004 10.946182)
Carrera 8 No. 47-84 Lado Norte,10.946134,-74.802865,POINT(-74.802865 10.946134)
Carrera 8 No. 49-64 Lado Norte,10.946182,-74.805547,POINT(-74.805547 10.946182)
Calle 51B con Carrera 8B Lado Oriente,10.947604,-74.806106,POINT(-74.806106 10.947604)
Carrera 8D con Calle 52C Lado Norte,10.948591,-74.807847,POINT(-74.807847 10.948591)
Calle 53 con Carrera 8G Lado Oriente,10.95143,-74.807871,POINT(-74.807871 10.95143)
Calle 56 con Carrera 9D SAO Macarena,10.954218,-74.808092,POINT(-74.808092 10.954218)
Carrera 10 con Calle 54,10.953969,-74.806833,POINT(-74.806833 10.953969)
Calle 53 con Carrera 9D Lado Occidente,10.95271,-74.806762,POINT(-74.806762 10.95271)
Calle 53 con Carrera 8G Lado Occidente,10.951271,-74.808028,POINT(-74.808028 10.951271)
Carrera 8D No. 52-41 Lado Sur,10.949151,-74.808557,POINT(-74.808557 10.949151)
Calle 51B No. 8C-15 Lado Occidente,10.947859,-74.806133,POINT(-74.806133 10.947859)
Carrera 8 con Calle 49 Lado Sur,10.946058,-74.805661,POINT(-74.805661 10.946058)
Carrera 8 No. 47-117 Lado Sur,10.946057,-74.803118,POINT(-74.803118 10.946057)
Carrera 8 con Calle 45 Lado Sur Farmacia Torres,10.946078,-74.800409,POINT(-74.800409 10.946078)
Carrera 8 No. 42-127 Lado Sur,10.946107,-74.798475,POINT(-74.798475 10.946107)
Carrera 8 con Calle 41 Lado Sur,10.946113,-74.795858,POINT(-74.795858 10.946113)
Carrera 8 No. 36B-125 Lado Sur,10.945887,-74.793093,POINT(-74.793093 10.945887)
Carrera 8 con Calle 35A Lado Sur,10.94619,-74.790928,POINT(-74.790928 10.94619)
Carrera 8 con Calle 34 Lado Sur,10.946428,-74.788717,POINT(-74.788717 10.946428)
Carrera 1H con calle 45 esq,10.932732,-74.798927,POINT(-74.798927 10.932732)
Carrera 2E No. 44B-13,10.934835,-74.798927,POINT(-74.798927 10.934835)
Carrera 2B No. 42A-05,10.934503,-74.797133,POINT(-74.797133 10.934503)
Carrera 2 con Calle 39 esq,10.934873,-74.794397,POINT(-74.794397 10.934873)
Carrera 2 No. 37E-23,10.934828,-74.792567,POINT(-74.792567 10.934828)
Calle 37C Carrera 2 Tienda El danubio,10.93562,-74.790987,POINT(-74.790987 10.93562)
Calle 37C con Carrera 3A,10.937258,-74.791567,POINT(-74.791567 10.937258)
Calle 37C No. 3D-04,10.938568,-74.791708,POINT(-74.791708 10.938568)
Carrera 4 con Calle 36 Esq,10.938947,-74.790488,POINT(-74.790488 10.938947)
Carrera 4 con Calle 34B Esq,10.939295,-74.788622,POINT(-74.788622 10.939295)
Carrera 4 No. 30-175 Coltabaco,10.939613,-74.786048,POINT(-74.786048 10.939613)
Carrera 4 con Calle 30 Cannon,10.939838,-74.783297,POINT(-74.783297 10.939838)
Calle 30 con Carrera 2 frente a Coomeva,10.938205,-74.782365,POINT(-74.782365 10.938205)
Carrera 2 con Calle 30 Colegio San Jose,10.937722,-74.782895,POINT(-74.782895 10.937722)
Carrera 2 con Calle 33A esq,10.936585,-74.78478,POINT(-74.78478 10.936585)
Carrera 2 con Calle 34 esq,10.935955,-74.786967,POINT(-74.786967 10.935955)
Carrera 2 con Calle 35A esq,10.935437,-74.789325,POINT(-74.789325 10.935437)
Calle 37C con Carrera 2 Esq,10.934685,-74.791298,POINT(-74.791298 10.934685)
Calle 37C con Carrera 1H esq,10.932828,-74.791708,POINT(-74.791708 10.932828)
Carrera 1H con Calle 37F esq,10.933207,-74.793172,POINT(-74.793172 10.933207)
Carrera 1H con Calle 41B esq,10.933708,-74.79478,POINT(-74.79478 10.933708)
Carrera 1H No. 41B-236,10.933242,-74.796837,POINT(-74.796837 10.933242)
Carrera 7 con Calle 44,10.94138,-74.799259,POINT(-74.799259 10.94138)
Carrera 7 con Calle 42,10.943021,-74.797674,POINT(-74.797674 10.943021)
Carrera 6B No. 41-101 Lado Sur,10.941309,-74.796807,POINT(-74.796807 10.941309)
Carrera 6B No. 38B-73 Lado Sur,10.941651,-74.794265,POINT(-74.794265 10.941651)
Carrera 6B con Calle 37C Lado Sur,10.94185,-74.79245,POINT(-74.79245 10.94185)
Carrera 6B No. 34C-23 Lado Sur,10.942309,-74.788919,POINT(-74.788919 10.942309)
Carrera 6B No. 33-65 Lado Sur,10.942884,-74.786845,POINT(-74.786845 10.942884)
